Order,State,12+ Estimate,12+ 95% CI (Lower),12+ 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper),18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper)
37,New Mexico,84.93%,82.48%,87.10%,62.47%,57.12%,67.54%,83.74%,79.73%,87.09%,87.79%,84.91%,90.18%,87.24%,84.62%,89.47%
38,New York,83.11%,81.59%,84.54%,62.73%,59.54%,65.81%,78.76%,75.82%,81.44%,85.79%,83.99%,87.42%,84.87%,83.25%,86.37%
39,North Carolina,84.56%,82.68%,86.28%,62.52%,58.16%,66.69%,81.60%,78.22%,84.55%,87.51%,85.29%,89.43%,86.72%,84.71%,88.50%
40,North Dakota,82.95%,80.72%,84.98%,58.49%,53.12%,63.67%,78.53%,74.35%,82.19%,86.68%,84.07%,88.93%,85.39%,83.03%,87.47%
41,Ohio,86.05%,84.61%,87.38%,62.28%,58.53%,65.88%,84.19%,81.38%,86.64%,89.01%,87.35%,90.47%,88.37%,86.85%,89.74%
42,Oklahoma,84.48%,82.28%,86.44%,63.14%,58.11%,67.91%,81.13%,77.09%,84.61%,87.71%,85.17%,89.86%,86.77%,84.45%,88.79%
43,Oregon,78.64%,75.91%,81.13%,60.97%,55.79%,65.91%,79.51%,74.99%,83.40%,80.27%,77.10%,83.09%,80.17%,77.26%,82.79%
44,Pennsylvania,84.85%,83.17%,86.39%,63.22%,59.51%,66.77%,81.83%,78.80%,84.51%,87.51%,85.57%,89.22%,86.79%,85.01%,88.38%
45,Rhode Island,83.56%,80.83%,85.96%,61.73%,56.16%,67.01%,82.26%,78.10%,85.77%,85.91%,82.68%,88.61%,85.38%,82.50%,87.86%
46,South Carolina,87.37%,85.33%,89.17%,65.94%,60.96%,70.59%,83.27%,79.31%,86.61%,90.30%,88.00%,92.20%,89.41%,87.27%,91.22%
47,South Dakota,81.43%,78.97%,83.65%,58.91%,53.52%,64.10%,77.33%,73.23%,80.96%,84.87%,81.94%,87.39%,83.81%,81.17%,86.14%
48,Tennessee,86.39%,84.35%,88.20%,63.45%,58.44%,68.18%,83.31%,79.61%,86.45%,89.41%,87.04%,91.40%,88.61%,86.45%,90.47%
49,Texas,84.80%,83.47%,86.03%,62.88%,59.24%,66.37%,82.23%,79.46%,84.70%,88.23%,86.73%,89.58%,87.35%,85.96%,88.61%
50,Utah,81.34%,79.15%,83.35%,59.55%,54.57%,64.34%,81.13%,76.96%,84.69%,85.07%,82.42%,87.38%,84.36%,82.01%,86.45%
51,Vermont,83.89%,81.51%,86.01%,62.26%,57.74%,66.58%,81.77%,78.05%,84.98%,86.25%,83.43%,88.66%,85.61%,83.10%,87.81%
52,Virginia,84.29%,82.39%,86.01%,60.47%,55.86%,64.89%,79.98%,76.37%,83.16%,87.59%,85.40%,89.49%,86.57%,84.57%,88.35%
53,Washington,80.89%,78.41%,83.14%,59.28%,54.26%,64.12%,76.65%,72.07%,80.68%,83.80%,80.90%,86.32%,82.90%,80.26%,85.25%
54,West Virginia,85.30%,82.89%,87.42%,65.09%,60.24%,69.65%,85.49%,81.89%,88.48%,87.31%,84.49%,89.67%,87.09%,84.53%,89.28%
55,Wisconsin,82.83%,80.63%,84.83%,58.04%,52.97%,62.95%,80.76%,76.95%,84.06%,85.93%,83.35%,88.17%,85.23%,82.90%,87.29%
56,Wyoming,82.50%,80.01%,84.74%,58.17%,52.62%,63.52%,76.94%,72.09%,81.17%,86.25%,83.34%,88.72%,85.02%,82.38%,87.33%
