Order,State,12+ Estimate,12+ 95% CI (Lower),12+ 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper),18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper)
33,Nebraska,0.75%,0.39%,1.45%,0.65%,0.27%,1.57%,0.76%,0.38%,1.52%,0.76%,0.34%,1.70%,0.76%,0.38%,1.54%
34,Nevada,0.80%,0.39%,1.61%,0.35%,0.16%,0.75%,1.05%,0.50%,2.21%,0.81%,0.34%,1.90%,0.84%,0.40%,1.75%
35,New Hampshire,1.10%,0.58%,2.08%,0.95%,0.38%,2.35%,1.59%,0.80%,3.13%,1.05%,0.47%,2.31%,1.11%,0.57%,2.18%
36,New Jersey,0.67%,0.33%,1.36%,0.19%,0.08%,0.43%,1.00%,0.49%,2.04%,0.68%,0.29%,1.58%,0.72%,0.35%,1.48%
37,New Mexico,1.14%,0.55%,2.37%,0.37%,0.17%,0.81%,0.67%,0.30%,1.51%,1.31%,0.58%,2.95%,1.22%,0.57%,2.60%
38,New York,0.65%,0.33%,1.28%,0.10%,0.04%,0.27%,0.37%,0.12%,1.09%,0.75%,0.36%,1.53%,0.70%,0.35%,1.38%
39,North Carolina,0.71%,0.38%,1.35%,0.16%,0.07%,0.39%,0.71%,0.36%,1.41%,0.77%,0.37%,1.62%,0.77%,0.40%,1.46%
40,North Dakota,0.81%,0.43%,1.53%,0.59%,0.24%,1.42%,1.12%,0.59%,2.10%,0.78%,0.35%,1.73%,0.84%,0.43%,1.62%
41,Ohio,0.87%,0.49%,1.54%,0.27%,0.13%,0.58%,0.70%,0.36%,1.35%,0.96%,0.51%,1.82%,0.93%,0.52%,1.66%
42,Oklahoma,0.71%,0.35%,1.44%,0.39%,0.17%,0.86%,0.88%,0.45%,1.68%,0.73%,0.31%,1.73%,0.75%,0.36%,1.56%
43,Oregon,0.73%,0.37%,1.43%,0.49%,0.23%,1.06%,0.33%,0.11%,0.97%,0.80%,0.38%,1.70%,0.75%,0.36%,1.52%
44,Pennsylvania,1.10%,0.65%,1.86%,0.26%,0.12%,0.53%,1.41%,0.76%,2.60%,1.14%,0.62%,2.09%,1.17%,0.69%,2.00%
45,Rhode Island,0.67%,0.32%,1.41%,0.22%,0.10%,0.49%,0.58%,0.25%,1.33%,0.73%,0.31%,1.69%,0.71%,0.33%,1.51%
46,South Carolina,1.08%,0.56%,2.07%,0.07%,0.02%,0.25%,0.78%,0.37%,1.66%,1.23%,0.60%,2.52%,1.18%,0.61%,2.27%
47,South Dakota,1.00%,0.55%,1.80%,0.77%,0.33%,1.80%,1.52%,0.83%,2.76%,0.94%,0.43%,2.04%,1.02%,0.54%,1.91%
48,Tennessee,1.39%,0.78%,2.48%,0.45%,0.19%,1.05%,0.89%,0.45%,1.74%,1.57%,0.82%,2.99%,1.48%,0.81%,2.69%
49,Texas,0.58%,0.30%,1.10%,0.44%,0.19%,0.99%,0.27%,0.09%,0.77%,0.66%,0.33%,1.31%,0.60%,0.30%,1.18%
50,Utah,0.72%,0.37%,1.39%,0.56%,0.25%,1.24%,1.01%,0.52%,1.94%,0.68%,0.29%,1.63%,0.74%,0.37%,1.50%
51,Vermont,1.04%,0.55%,1.96%,0.52%,0.24%,1.14%,0.96%,0.49%,1.85%,1.11%,0.52%,2.33%,1.09%,0.56%,2.09%
52,Virginia,0.78%,0.43%,1.43%,0.25%,0.11%,0.57%,1.26%,0.68%,2.34%,0.77%,0.37%,1.60%,0.84%,0.45%,1.54%
53,Washington,0.58%,0.27%,1.23%,0.27%,0.12%,0.60%,0.32%,0.11%,0.95%,0.65%,0.28%,1.46%,0.61%,0.28%,1.32%
54,West Virginia,1.57%,0.87%,2.81%,0.63%,0.27%,1.48%,1.20%,0.63%,2.27%,1.72%,0.88%,3.32%,1.65%,0.90%,3.02%
55,Wisconsin,0.82%,0.46%,1.48%,0.57%,0.26%,1.26%,1.51%,0.80%,2.83%,0.74%,0.34%,1.61%,0.85%,0.46%,1.56%
56,Wyoming,1.58%,0.82%,3.00%,0.63%,0.28%,1.40%,1.01%,0.48%,2.09%,1.78%,0.86%,3.67%,1.68%,0.85%,3.27%
